depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
256,seed_202,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.025532
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.378597
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.291705
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.395199
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.738305
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.729269
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.628723
256,seed_202,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.058065
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.421685
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.331906
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.437761
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.763091
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.752446
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.653911
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.375496
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.287037
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.391916
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.728775
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.719188
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.619218
256,seed_202,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.090188
256,seed_202,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.01676
256,seed_202,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.384175
256,seed_202,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.380125
256,seed_202,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.279341
256,seed_202,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.105953
256,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.454266
256,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.447474
256,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.34568
256,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.368657
256,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.364966
256,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.264546
